019  01599 |Loss: 0.507 | Acc: 80.000% 
019  01600 |Loss: 0.505 | Acc: 80.000% 
019  01601 |Loss: 0.503 | Acc: 81.000% 
019  01602 |Loss: 0.501 | Acc: 81.000% 
019  01603 |Loss: 0.501 | Acc: 81.000% 
019  01604 |Loss: 0.503 | Acc: 81.000% 
019  01605 |Loss: 0.502 | Acc: 81.000% 
019  01606 |Loss: 0.501 | Acc: 81.000% 
019  01607 |Loss: 0.501 | Acc: 81.000% 
019  01608 |Loss: 0.501 | Acc: 81.000% 
019  01609 |Loss: 0.500 | Acc: 81.000% 
019  01610 |Loss: 0.503 | Acc: 81.000% 
019  01611 |Loss: 0.504 | Acc: 81.000% 
019  01612 |Loss: 0.503 | Acc: 81.000% 
019  01613 |Loss: 0.501 | Acc: 81.000% 
019  01614 |Loss: 0.498 | Acc: 81.000% 
019  01615 |Loss: 0.497 | Acc: 81.000% 
019  01616 |Loss: 0.496 | Acc: 81.000% 
019  01617 |Loss: 0.497 | Acc: 81.000% 
019  01618 |Loss: 0.497 | Acc: 81.000% 
019  01619 |Loss: 0.499 | Acc: 80.000% 
019  01620 |Loss: 0.499 | Acc: 80.000% 
019  01621 |Loss: 0.502 | Acc: 80.000% 
019  01622 |Loss: 0.501 | Acc: 80.000% 
019  01623 |Loss: 0.504 | Acc: 80.000% 
019  01624 |Loss: 0.501 | Acc: 80.000% 
019  01625 |Loss: 0.502 | Acc: 80.000% 
019  01626 |Loss: 0.502 | Acc: 80.000% 
019  01627 |Loss: 0.501 | Acc: 80.000% 
019  01628 |Loss: 0.501 | Acc: 80.000% 
019  01629 |Loss: 0.500 | Acc: 80.000% 
019  01630 |Loss: 0.501 | Acc: 80.000% 
019  01631 |Loss: 0.502 | Acc: 80.000% 
019  01632 |Loss: 0.502 | Acc: 80.000% 
019  01633 |Loss: 0.502 | Acc: 80.000% 
019  01634 |Loss: 0.500 | Acc: 80.000% 
020  01635 |Loss: 0.624 | Acc: 76.000% 
020  01636 |Loss: 0.486 | Acc: 82.000% 
020  01637 |Loss: 0.500 | Acc: 80.000% 
020  01638 |Loss: 0.484 | Acc: 81.000% 
020  01639 |Loss: 0.463 | Acc: 81.000% 
